특성별(1),특성별(2),특성별(3),특성별(4),시점,영업시간및일수별(1),영업시간및일수별(2),원데이터,전년 대비 증감,증감률
업종별,일반음식점 외,기타 음식점업,간이 음식 포장 판매 전문점,2021,1일 영업시간,12시간 (%),6.9,-3.4,-33
업종별,일반음식점 외,기타 음식점업,간이 음식 포장 판매 전문점,2021,1일 영업시간,12시간 초과 (%),14,-2.1,-13
업종별,일반음식점 외,기타 음식점업,간이 음식 포장 판매 전문점,2021,1일 영업시간,평균 (h),10.6,-0.2,-1.9
업종별,일반음식점 외,기타 음식점업,간이 음식 포장 판매 전문점,2021,한달 영업일수,24일 이하 (%),4.3,-5.9,-57.8
업종별,일반음식점 외,기타 음식점업,간이 음식 포장 판매 전문점,2021,한달 영업일수,25~26일 (%),51.2,3,6.2
업종별,일반음식점 외,기타 음식점업,간이 음식 포장 판매 전문점,2021,한달 영업일수,27~28일 (%),9.4,-4.7,-33.3
업종별,일반음식점 외,기타 음식점업,간이 음식 포장 판매 전문점,2021,한달 영업일수,29~30일 (%),35.1,7.7,28.1
업종별,일반음식점 외,기타 음식점업,간이 음식 포장 판매 전문점,2021,한달 영업일수,평균 (일),27.3,0.5,1.9
업종별,일반음식점 외,주점업,소계,2021,1일 영업시간,12시간 미만 (%),92.8,1.8,2
업종별,일반음식점 외,주점업,소계,2021,1일 영업시간,12시간 (%),4.5,-1.6,-26.2
업종별,일반음식점 외,주점업,소계,2021,1일 영업시간,12시간 초과 (%),2.7,-0.3,-10
업종별,일반음식점 외,주점업,소계,2021,1일 영업시간,평균 (h),7.7,-1.2,-13.5
업종별,일반음식점 외,주점업,소계,2021,한달 영업일수,24일 이하 (%),3.3,1,43.5
업종별,일반음식점 외,주점업,소계,2021,한달 영업일수,25~26일 (%),45.5,14.5,46.8
업종별,일반음식점 외,주점업,소계,2021,한달 영업일수,27~28일 (%),12.5,-11.6,-48.1
업종별,일반음식점 외,주점업,소계,2021,한달 영업일수,29~30일 (%),38.6,-4,-9.4
업종별,일반음식점 외,주점업,소계,2021,한달 영업일수,평균 (일),27.4,-0.5,-1.8
업종별,일반음식점 외,비알콜 음료점업,소계,2021,1일 영업시간,12시간 미만 (%),42.9,5.7,15.3
업종별,일반음식점 외,비알콜 음료점업,소계,2021,1일 영업시간,12시간 (%),27.9,-5.3,-16
업종별,일반음식점 외,비알콜 음료점업,소계,2021,1일 영업시간,12시간 초과 (%),29.2,-0.4,-1.4
업종별,일반음식점 외,비알콜 음료점업,소계,2021,1일 영업시간,평균 (h),11.9,0,0
업종별,일반음식점 외,비알콜 음료점업,소계,2021,한달 영업일수,24일 이하 (%),9.8,3.9,66.1
업종별,일반음식점 외,비알콜 음료점업,소계,2021,한달 영업일수,25~26일 (%),30.8,7.9,34.5
업종별,일반음식점 외,비알콜 음료점업,소계,2021,한달 영업일수,27~28일 (%),13.6,0.6,4.6
업종별,일반음식점 외,비알콜 음료점업,소계,2021,한달 영업일수,29~30일 (%),45.8,-12.4,-21.3
